tag,hidden_layers,dropout,use_batchnorm,lr,loss,epochs,train_time_s,val_min,test_loss,test_brier,test_nll,model_path,history_csv,huber_delta,label_smoothing
mid_64_64_64_h005,"(64, 64, 64)",0.2,True,0.001,huber,200,25.06,0.0007100122165866196,0.0009291097521781921,0.0018582195043563843,0.3196958303451538,exp_ranked_models\best_mid_64_64_64_h005.keras,exp_ranked_models\mid_64_64_64_h005_history.csv,0.05,
deep_128x4_h005,"(128, 128, 128, 128)",0.15,True,0.0005,huber,208,29.68,0.0009524566703476012,0.0038473401218652725,0.007694680243730545,0.9864847660064697,exp_ranked_models\best_deep_128x4_h005.keras,exp_ranked_models\deep_128x4_h005_history.csv,0.05,
shallow64_huber010,"(64, 64)",0.2,False,0.001,huber,300,31.2,0.0010204691207036376,0.001049102982506156,0.002098205965012312,0.2935436964035034,exp_ranked_models\best_shallow64_huber010.keras,exp_ranked_models\shallow64_huber010_history.csv,0.1,
shallow64_huber015,"(64, 64)",0.2,False,0.001,huber,300,31.74,0.001095389830879867,0.0010967154521495104,0.0021934309042990208,0.2944352924823761,exp_ranked_models\best_shallow64_huber015.keras,exp_ranked_models\shallow64_huber015_history.csv,0.15,
shallow64_huber005,"(64, 64)",0.2,False,0.001,huber,300,34.28,0.001189167844131589,0.0021192976273596287,0.004238595254719257,0.2992044687271118,exp_ranked_models\best_shallow64_huber005.keras,exp_ranked_models\shallow64_huber005_history.csv,0.05,
reg_64_32_16_h010,"(64, 32, 16)",0.3,True,0.001,huber,144,18.19,0.0014672870747745037,0.0015475801192224026,0.003095160238444805,0.30521100759506226,exp_ranked_models\best_reg_64_32_16_h010.keras,exp_ranked_models\reg_64_32_16_h010_history.csv,0.1,
mid_128_128_mse,"(128, 128)",0.2,True,0.001,mse,204,24.95,0.001571211265400052,0.0015712111489847302,0.0015712111489847302,0.3056093454360962,exp_ranked_models\best_mid_128_128_mse.keras,exp_ranked_models\mid_128_128_mse_history.csv,,
mid_64_64_64_mse,"(64, 64, 64)",0.2,True,0.001,mse,155,21.48,0.0018128975061699748,0.001812897389754653,0.001812897389754653,0.2915622591972351,exp_ranked_models\best_mid_64_64_64_mse.keras,exp_ranked_models\mid_64_64_64_mse_history.csv,,
wide_256_128_mse,"(256, 128)",0.2,True,0.0005,mse,188,23.1,0.0019085502717643976,0.0019085502717643976,0.0019085502717643976,0.3180452585220337,exp_ranked_models\best_wide_256_128_mse.keras,exp_ranked_models\wide_256_128_mse_history.csv,,
deep_128x4_mse,"(128, 128, 128, 128)",0.15,True,0.0005,mse,146,22.03,0.0020305574871599674,0.0020305574871599674,0.0020305574871599674,0.33750203251838684,exp_ranked_models\best_deep_128x4_mse.keras,exp_ranked_models\deep_128x4_mse_history.csv,,
shallow128_64_mse,"(128, 64)",0.2,True,0.001,mse,186,22.63,0.002067035296931863,0.002067035296931863,0.002067035296931863,0.3096022307872772,exp_ranked_models\best_shallow128_64_mse.keras,exp_ranked_models\shallow128_64_mse_history.csv,,
shallow64_bn_mse,"(64, 64)",0.2,True,0.001,mse,166,18.84,0.002210462000221014,0.0022104615345597267,0.0022104615345597267,0.2974528968334198,exp_ranked_models\best_shallow64_bn_mse.keras,exp_ranked_models\shallow64_bn_mse_history.csv,,
wide_320_160_mse,"(320, 160)",0.25,True,0.0005,mse,233,33.83,0.0022918900940567255,0.0022918900940567255,0.0022918900940567255,0.3346685469150543,exp_ranked_models\best_wide_320_160_mse.keras,exp_ranked_models\wide_320_160_mse_history.csv,,
mid_96_64_32_mse,"(96, 64, 32)",0.15,True,0.001,mse,151,22.81,0.002300341846421361,0.002300341846421361,0.002300341846421361,0.31089720129966736,exp_ranked_models\best_mid_96_64_32_mse.keras,exp_ranked_models\mid_96_64_32_mse_history.csv,,
deep_96x5_mse,"(96, 96, 96, 96, 96)",0.1,True,0.0005,mse,172,26.09,0.0024426192976534367,0.002442619763314724,0.002442619763314724,0.37075895071029663,exp_ranked_models\best_deep_96x5_mse.keras,exp_ranked_models\deep_96x5_mse_history.csv,,
deep_256_128_64_mse,"(256, 128, 64)",0.2,True,0.0005,mse,176,24.54,0.0025625990238040686,0.002562598790973425,0.002562598790973425,0.3417872190475464,exp_ranked_models\best_deep_256_128_64_mse.keras,exp_ranked_models\deep_256_128_64_mse_history.csv,,
shallow64_mse,"(64, 64)",0.2,False,0.001,mse,300,29.87,0.002810861449688673,0.0028108612168580294,0.0028108612168580294,0.3165964186191559,exp_ranked_models\best_shallow64_mse.keras,exp_ranked_models\shallow64_mse_history.csv,,
shallow32_mse,"(32, 32)",0.1,False,0.001,mse,300,30.63,0.002960007870569825,0.002960008103400469,0.002960008103400469,0.3013753890991211,exp_ranked_models\best_shallow32_mse.keras,exp_ranked_models\shallow32_mse_history.csv,,
mid_96_64_32_lr5e4,"(96, 64, 32)",0.15,True,0.0005,mse,131,21.18,0.0032596655655652285,0.0032596655655652285,0.0032596655655652285,0.29479506611824036,exp_ranked_models\best_mid_96_64_32_lr5e4.keras,exp_ranked_models\mid_96_64_32_lr5e4_history.csv,,
deep_256_128_64_h010,"(256, 128, 64)",0.2,True,0.0005,huber,276,37.14,0.0033869424369186163,0.013185972347855568,0.026371944695711136,0.6206929683685303,exp_ranked_models\best_deep_256_128_64_h010.keras,exp_ranked_models\deep_256_128_64_h010_history.csv,0.1,
mid_128_64_32_h010,"(128, 64, 32)",0.2,True,0.001,huber,48,8.44,0.003518512938171625,0.005312542896717787,0.010625085793435574,0.31316956877708435,exp_ranked_models\best_mid_128_64_32_h010.keras,exp_ranked_models\mid_128_64_32_h010_history.csv,0.1,
reg_64_32_16_mse,"(64, 32, 16)",0.3,True,0.001,mse,243,28.98,0.003680443624034524,0.0036804438568651676,0.0036804438568651676,0.3551558256149292,exp_ranked_models\best_reg_64_32_16_mse.keras,exp_ranked_models\reg_64_32_16_mse_history.csv,,
tiny_16_16_mse,"(16, 16)",0.1,False,0.001,mse,300,30.22,0.003924359567463398,0.003924360033124685,0.003924360033124685,0.34098315238952637,exp_ranked_models\best_tiny_16_16_mse.keras,exp_ranked_models\tiny_16_16_mse_history.csv,,
tiny_16_8_mse,"(16, 8)",0.1,False,0.001,mse,300,28.43,0.004023546818643808,0.004023546352982521,0.004023546352982521,0.3125261962413788,exp_ranked_models\best_tiny_16_8_mse.keras,exp_ranked_models\tiny_16_8_mse_history.csv,,
wide_256_128_h015,"(256, 128)",0.2,True,0.0005,huber,156,19.66,0.004340301733464003,0.007454419042915106,0.014908838085830212,0.31361305713653564,exp_ranked_models\best_wide_256_128_h015.keras,exp_ranked_models\wide_256_128_h015_history.csv,0.15,
reg_48_24_12_mse,"(48, 24, 12)",0.35,True,0.001,mse,161,19.12,0.006276784464716911,0.006276784930378199,0.006276784930378199,0.32157808542251587,exp_ranked_models\best_reg_48_24_12_mse.keras,exp_ranked_models\reg_48_24_12_mse_history.csv,,
mid_128_128_lr5e4,"(128, 128)",0.2,True,0.0005,mse,64,9.73,0.015359880402684212,0.015359880402684212,0.015359880402684212,0.3336498439311981,exp_ranked_models\best_mid_128_128_lr5e4.keras,exp_ranked_models\mid_128_128_lr5e4_history.csv,,
mid_128_64_32_mse,"(128, 64, 32)",0.2,True,0.001,mse,43,7.78,0.018175272271037102,0.018175272271037102,0.018175272271037102,0.3447674512863159,exp_ranked_models\best_mid_128_64_32_mse.keras,exp_ranked_models\mid_128_64_32_mse_history.csv,,
shallow32_bce_ls03,"(32, 32)",0.2,False,0.001,bce_ls,300,31.64,0.31747257709503174,0.31747257709503174,0.002951460424810648,0.2900398075580597,exp_ranked_models\best_shallow32_bce_ls03.keras,exp_ranked_models\shallow32_bce_ls03_history.csv,,0.03
reg_32_16_8_bce_ls03,"(32, 16, 8)",0.3,False,0.001,bce_ls,259,25.53,0.3206055164337158,0.3206055462360382,0.004103153012692928,0.29447007179260254,exp_ranked_models\best_reg_32_16_8_bce_ls03.keras,exp_ranked_models\reg_32_16_8_bce_ls03_history.csv,,0.03
wide_192_96_bce_ls05,"(192, 96)",0.2,True,0.0007,bce_ls,209,23.87,0.332405149936676,0.332405149936676,0.0017716607544571161,0.2850586175918579,exp_ranked_models\best_wide_192_96_bce_ls05.keras,exp_ranked_models\wide_192_96_bce_ls05_history.csv,,0.05
